code,name
2330,台積電
2454,聯發科
2317,鴻海
2308,台達電
2303,聯電
1301,台塑
2412,中華電
1303,南亞
2891,中信金
2882,國泰金
2881,富邦金
3008,大立光
2886,兆豐金
1216,統一
2002,中鋼
2884,玉山金
1326,台化
3711,日月光投控
2885,元大金
2327,國巨
1101,台泥
2892,第一金
2382,廣達
5871,中租-KY
3034,聯詠
2207,和泰車
5880,合庫金
2379,瑞昱
2357,華碩
2880,華南金
3045,台灣大
2474,可成
2912,統一超
6415,矽力-KY
2395,研華
2887,台新金
6505,台塑化
4938,和碩
5876,上海商銀
2883,開發金
2890,永豐金
2801,彰銀
1402,遠東新
1102,亞泥
4904,遠傳
9910,豐泰
2105,正新
2408,南亞科
2633,台灣高鐵
6669,緯穎
1565,精華
1785,光洋科
3081,聯亞
3105,穩懋
3131,弘塑
3152,璟德
3211,順達
3218,大學光
3227,原相
3260,威剛
3264,欣銓
3293,鈊象
3324,雙鴻
3374,精材
3529,力旺
3680,家登
4107,邦特
4123,晟德
4162,智擎
4167,松瑞藥
4736,泰博
4966,譜瑞-KY
5274,信驊
5289,宜鼎
5347,世界
5371,中光電
5425,台半
5457,宣德
5483,中美晶
5536,聖暉
6121,新普
6147,頎邦
6173,信昌電
6180,橘子
6182,合晶
6274,台燿
6462,神盾
6488,環球晶
6510,精測
6548,長科*
6561,是方
6643,M31
6732,昇佳電子
8044,網家
8069,元太
8086,宏捷科
8299,群聯
8358,金居
8406,金可-KY
8436,大江
1102,亞泥 
1210,大成 
1216,統一 
1227,佳格 
1229,聯華投控 
1434,福懋 
1451,年興 
1476,儒鴻 
1477,聚陽 
1504,東元 
1560,中砂 
1590,亞德客-KY 
1605,華新 
1717,長興 
1718,中纖 
1722,台肥 
1802,台玻 
1907,永豐餘 
2027,大成鋼 
2049,上銀 
2059,川湖 
2101,南港 
2201,裕隆 
2207,和泰車 
2227,裕日車 
2301,光寶科 
2312,金寶 
2313,華通 
2324,仁寶 
2337,旺宏 
2344,華邦電 
2347,聯強 
2352,佳世達 
2353,宏碁 
2354,鴻準 
2356,英業達 
2360,致茂 
2371,大同 
2376,技嘉 
2377,微星 
2385,群光 
2404,漢唐 
2409,友達 
2439,美律 
2449,京元電子 
2451,創見 
2458,義隆 
2478,大毅 
2492,華新科 
2542,興富發 
2603,長榮 
2606,裕民 
2610,華航 
2615,萬海 
2618,長榮航 
2809,京城銀 
2812,台中銀 
2823,中壽 
2834,臺企銀 
2845,遠東銀 
2888,新光金 
2889,國票金 
2903,遠百 
2912,統一超 
2915,潤泰全 
3005,神基 
3023,信邦 
3037,欣興 
3044,健鼎 
3051,力特 
3231,緯創 
3406,玉晶光 
3443,創意 
3481,群創 
3532,台勝科 
3533,嘉澤 
3576,聯合再生 
3653,健策 
3661,世芯-KY 
3665,貿聯-KY 
3682,亞太電 
3702,大聯大 
3706,神達 
4137,麗豐-KY 
4958,臻鼎-KY 
5264,鎧勝-KY 
5269,祥碩 
5522,遠雄 
6005,群益證 
6176,瑞儀 
6213,聯茂 
6239,力成 
6269,台郡 
6271,同欣電 
6278,台表科 
6285,啟碁 
6409,旭隼 
6456,GIS-KY 
6592,和潤企業 
8046,南電 
8454,富邦媒 
8464,億豐 
9904,寶成 
9914,美利達 
9917,中保科 
9921,巨大 
9933,中鼎 
9941,裕融 
9945,潤泰新 
